Name                Type    Forward_MACs    FPercent    Memory    MPercent    Params    PPercent    InShape    OutShape
------------------  ------  --------------  ----------  --------  ----------  --------  ----------  ---------  ----------
/Split              Split   0               0.00%       17,200    10.26%      0         0.00%       4300       100
/Mul                Mul     20              0.01%       80        0.05%       0         0.00%       20         20
/h_gc1/MatMul       MatMul  1,600           0.79%       1,600     0.95%       80        1.30%       20x5       20x16
/act_fn/Relu        Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/h_gc2/MatMul       MatMul  2,560           1.27%       1,152     0.69%       128       2.08%       20x16      20x8
/act_fn_1/Relu      Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/h_gc3/MatMul       MatMul  1,280           0.63%       896       0.53%       64        1.04%       20x8       20x8
/act_fn_2/Relu      Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc1/MatMul       MatMul  2,560           1.27%       1,792     1.07%       128       2.08%       20x8       20x16
/act_fn_3/Relu      Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2/MatMul       MatMul  2,560           1.27%       1,152     0.69%       128       2.08%       20x16      20x8
/act_fn_4/Relu      Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3/MatMul       MatMul  1,280           0.63%       896       0.53%       64        1.04%       20x8       20x8
/act_fn_5/Relu      Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/MatMul             MatMul  3,200           1.59%       2,240     1.34%       400       6.49%       20x20      20x8
/f_gc1_1/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_6/Relu      Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_1/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_7/Relu      Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_1/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_8/Relu      Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/Add                Add     160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc1_2/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_9/Relu      Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_2/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_10/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_2/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_11/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/MatMul_1           MatMul  3,200           1.59%       2,240     1.34%       400       6.49%       20x20      20x8
/f_gc1_3/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_12/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_3/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_13/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_3/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_14/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/Add_1              Add     160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc1_4/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_15/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_4/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_16/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_4/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_17/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/MatMul_2           MatMul  3,200           1.59%       2,240     1.34%       400       6.49%       20x20      20x8
/f_gc1_5/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_18/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_5/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_19/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_5/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_20/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/Add_2              Add     160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc1_6/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_21/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_6/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_22/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_6/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_23/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/MatMul_3           MatMul  3,200           1.59%       2,240     1.34%       400       6.49%       20x20      20x8
/f_gc1_7/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_24/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_7/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_25/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_7/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_26/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/Add_3              Add     160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc1_8/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_27/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_8/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_28/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_8/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
/act_fn_29/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/MatMul_4           MatMul  3,200           1.59%       2,240     1.34%       400       6.49%       20x20      20x8
/f_gc1_9/MatMul     MatMul  2,560           1.27%       1,280     0.76%       0         0.00%       20x8       20x16
/act_fn_30/Relu     Relu    320             0.16%       1,280     0.76%       0         0.00%       20x16      20x16
/f_gc2_9/MatMul     MatMul  2,560           1.27%       640       0.38%       0         0.00%       20x16      20x8
/act_fn_31/Relu     Relu    160             0.08%       640       0.38%       0         0.00%       20x8       20x8
/f_gc3_9/MatMul     MatMul  1,280           0.63%       640       0.38%       0         0.00%       20x8       20x8
