Name                  Type       Forward_MACs    FPercent    Memory    MPercent    Params    PPercent    InShape    OutShape
--------------------  ---------  --------------  ----------  --------  ----------  --------  ----------  ---------  ----------
/Split                Split      0               0.00%       17,200    6.68%       0         0.00%       1x4300     1x100
/h_gc1/MatMul         MatMul     1,600           0.70%       1,600     0.62%       80        2.60%       1x20x5     1x20x16
/h_gc1/Add            Add        320             0.14%       1,344     0.52%       16        0.52%       1x20x16    1x20x16
/Sub                  Sub        20              0.01%       80        0.03%       0         0.00%       1x1x20     1x1x20
/act_fn/LeakyRelu     LeakyRelu  640             0.28%       1,280     0.50%       0         0.00%       1x20x16    1x20x16
/Mul_8                Mul        20              0.01%       80        0.03%       0         0.00%       1x1x20     1x1x20
/h_gc2/MatMul         MatMul     2,560           1.12%       1,152     0.45%       128       4.17%       1x20x16    1x20x8
/h_gc2/Add            Add        160             0.07%       672       0.26%       8         0.26%       1x20x8     1x20x8
/act_fn_1/LeakyRelu   LeakyRelu  320             0.14%       640       0.25%       0         0.00%       1x20x8     1x20x8
/h_gc3/MatMul         MatMul     1,280           0.56%       896       0.35%       64        2.08%       1x20x8     1x20x8
/h_gc3/Add            Add        160             0.07%       672       0.26%       8         0.26%       1x20x8     1x20x8
/act_fn_2/LeakyRelu   LeakyRelu  320             0.14%       640       0.25%       0         0.00%       1x20x8     1x20x8
/f_gc1/MatMul         MatMul     2,560           1.12%       1,792     0.70%       128       4.17%       1x20x8     1x20x16
/f_gc1/Add            Add        320             0.14%       1,344     0.52%       16        0.52%       1x20x16    1x20x16
/act_fn_3/LeakyRelu   LeakyRelu  640             0.28%       1,280     0.50%       0         0.00%       1x20x16    1x20x16
/f_gc2/MatMul         MatMul     2,560           1.12%       1,152     0.45%       128       4.17%       1x20x16    1x20x8
/f_gc2/Add            Add        160             0.07%       672       0.26%       8         0.26%       1x20x8     1x20x8
/act_fn_4/LeakyRelu   LeakyRelu  320             0.14%       640       0.25%       0         0.00%       1x20x8     1x20x8
/f_gc3/MatMul         MatMul     1,280           0.56%       896       0.35%       64        2.08%       1x20x8     1x20x8
/f_gc3/Add            Add        160             0.07%       672       0.26%       8         0.26%       1x20x8     1x20x8
/act_fn_5/LeakyRelu   LeakyRelu  320             0.14%       640       0.25%       0         0.00%       1x20x8     1x20x8
/MatMul               MatMul     3,200           1.40%       640       0.25%       0         0.00%       1x20x20    1x20x8
/f_gc1_1/MatMul       MatMul     2,560           1.12%       1,280     0.50%       0         0.00%       1x20x8     1x20x16
/f_gc1_1/Add          Add        320             0.14%       1,280     0.50%       0         0.00%       1x20x16    1x20x16
/act_fn_6/LeakyRelu   LeakyRelu  640             0.28%       1,280     0.50%       0         0.00%       1x20x16    1x20x16
/f_gc2_1/MatMul       MatMul     2,560           1.12%       640       0.25%       0         0.00%       1x20x16    1x20x8
/f_gc2_1/Add          Add        160             0.07%       640       0.25%       0         0.00%       1x20x8     1x20x8
/act_fn_7/LeakyRelu   LeakyRelu  320             0.14%       640       0.25%       0         0.00%       1x20x8     1x20x8
/f_gc3_1/MatMul       MatMul     1,280           0.56%       640       0.25%       0         0.00%       1x20x8     1x20x8
/f_gc3_1/Add          Add        160             0.07%       640       0.25%       0         0.00%       1x20x8     1x20x8
/act_fn_8/LeakyRelu   LeakyRelu  320             0.14%       640       0.25%       0         0.00%       1x20x8     1x20x8
/Mul                  Mul        160             0.07%       640       0.25%       0         0.00%       1x20x8     1x20x8
/Add                  Add        160             0.07%       640       0.25%       0         0.00%       1x20x8     1x20x8
/f_gc1_2/MatMul       MatMul     2,560           1.12%       1,280     0.50%       0         0.00%       1x20x8     1x20x16
/f_gc1_2/Add          Add        320             0.14%       1,280     0.50%       0         0.00%       1x20x16    1x20x16
